"iso","indicator","region","region_label","window_mid","survey_year","est_1000","lower_1000","upper_1000"
"NGA","U5MR","adamawa","Adamawa","2022","2024","149.47784614558546","116.74845139222639","189.4149560147925"
"NGA","U5MR","akwa-ibom","Akwa Ibom","2022","2024","89.6428284502424","60.23514157862796","131.40031324954117"
"NGA","U5MR","anambra","Anambra","2022","2024","71.80505364513878","50.98994362176254","100.2199673745156"
"NGA","U5MR","bauchi","Bauchi","2022","2024","138.3654461286158","105.77474086408964","178.9878761986282"
"NGA","U5MR","bayelsa","Bayelsa","2022","2024","75.34466338243905","49.127718398782214","113.87672516356051"
"NGA","U5MR","benue","Benue","2022","2024","60.260707415961456","40.74929041975582","88.25496827262434"
"NGA","U5MR","borno","Borno","2022","2024","105.0901659808936","79.93802826317469","136.97807887720964"
"NGA","U5MR","cross-river","Cross River","2022","2024","46.844137657150895","24.91878821509373","86.35254988025267"
"NGA","U5MR","delta","Delta","2022","2024","31.220277619168456","17.82255041104167","54.13435891367512"
"NGA","U5MR","ebonyi","Ebonyi","2022","2024","55.783049619029356","39.79733869780944","77.67046600393452"
"NGA","U5MR","edo","Edo","2022","2024","24.67904426352352","13.488697493987823","44.7320518147612"
"NGA","U5MR","ekiti","Ekiti","2022","2024","66.60343493839082","34.43543400534713","124.93319003361837"
"NGA","U5MR","enugu","Enugu","2022","2024","39.684553931072955","23.114651542558644","67.31421427865648"
"NGA","U5MR","fct-abuja","FCT Abuja","2022","2024","45.015723289845376","26.265779396312123","76.1042859817157"
"NGA","U5MR","gombe","Gombe","2022","2024","145.28476232395838","116.69238621862884","179.45958914098483"
"NGA","U5MR","imo","Imo","2022","2024","99.38719223983128","67.88893125438408","143.25361201327016"
"NGA","U5MR","jigawa","Jigawa","2022","2024","162.70943696150053","134.65345990407693","195.29181983152952"
"NGA","U5MR","kaduna","Kaduna","2022","2024","156.40019452943966","135.56702534989424","179.76909195309378"
"NGA","U5MR","kano","Kano","2022","2024","151.828400536554","128.5172830251865","178.50174621451052"
"NGA","U5MR","katsina","Katsina","2022","2024","117.03974974526044","85.45408974437545","158.27960985263763"
"NGA","U5MR","kebbi","Kebbi","2022","2024","162.3222142233457","114.91579708036224","224.32856302439643"
"NGA","U5MR","kogi","Kogi","2022","2024","93.0720930672686","71.12937140989725","120.90285572723039"
"NGA","U5MR","kwara","Kwara","2022","2024","17.929014822181788","6.698130024968018","47.098056259507736"
"NGA","U5MR","lagos","Lagos","2022","2024","65.1205215247036","45.081889516489326","93.19690695127038"
"NGA","U5MR","nasarawa","Nasarawa","2022","2024","99.2464026725034","73.63176505581882","132.49724388134567"
"NGA","U5MR","niger","Niger","2022","2024","65.80725415562583","44.23803540174549","96.82759203993531"
"NGA","U5MR","ogun","Ogun","2022","2024","88.95056546404146","61.22059385928625","127.53453468735701"
"NGA","U5MR","ondo","Ondo","2022","2024","19.592873900191154","7.8239475117427135","48.20473718804252"
"NGA","U5MR","osun","Osun","2022","2024","30.764318684454615","13.481729940404799","68.65996782690424"
"NGA","U5MR","oyo","Oyo","2022","2024","34.96936168160825","19.13563760586655","63.062317997401415"
"NGA","U5MR","plateau","Plateau","2022","2024","129.15798156850323","103.35683604557994","160.24880927003863"
"NGA","U5MR","rivers","Rivers","2022","2024","64.31397074713607","40.66257885633649","100.28412878860546"
"NGA","U5MR","sokoto","Sokoto","2022","2024","108.63200582095412","78.34661028324824","148.73515695326574"
"NGA","U5MR","taraba","Taraba","2022","2024","128.08714052470094","93.90824253659027","172.33975029995497"
"NGA","U5MR","yobe","Yobe","2022","2024","135.3094775375916","106.31477845379032","170.70134247672092"
"NGA","U5MR","zamfara","Zamfara","2022","2024","129.59690438415484","87.16410710786694","188.4227327445638"
