country,admin_name,indicator,label,direction,latest_year,prev,se,ci_l,ci_u,prevalence_rank,n_units,rank_band,prov_avg,prov_min,prov_max,gap_worse,pos_worse
DRC,Maniema,facility_delivery,Facility delivery,beneficial,2024,71.421659,4.045588,63.492452,79.350866,17,26,Worse half,76.6750572692308,38.116438,98.882948,5.25339826923076,0.451914862314785
DRC,Sud-Ubangi,facility_delivery,Facility delivery,beneficial,2024,71.124878,4.310107,62.677225,79.572532,18,26,Worse half,76.6750572692308,38.116438,98.882948,5.55017926923077,0.456798818954717
DRC,Nord-Ubangi,facility_delivery,Facility delivery,beneficial,2024,69.338891,6.446306,56.704365,81.973418,19,26,Worse half,76.6750572692308,38.116438,98.882948,7.33616626923076,0.486189794345603
DRC,Haut-Lomami,facility_delivery,Facility delivery,beneficial,2024,64.487289,6.232395,52.272019,76.702558,20,26,Worse half,76.6750572692308,38.116438,98.882948,12.1877682692308,0.566029857564636
DRC,Equateur,facility_delivery,Facility delivery,beneficial,2024,63.416808,5.960501,51.734441,75.099175,21,26,Worst fifth,76.6750572692308,38.116438,98.882948,13.2582492692308,0.583646156410826
DRC,Mongala,facility_delivery,Facility delivery,beneficial,2024,63.268784,6.23095,51.056347,75.481221,22,26,Worst fifth,76.6750572692308,38.116438,98.882948,13.4062732692308,0.5860821034481
DRC,Bas-Uele,facility_delivery,Facility delivery,beneficial,2024,59.058099,9.631072,40.181544,77.934654,23,26,Worst fifth,76.6750572692308,38.116438,98.882948,17.6169582692308,0.655374959002911
DRC,Sankuru,facility_delivery,Facility delivery,beneficial,2024,42.439303,7.526509,27.687616,57.19099,24,26,Worst fifth,76.6750572692308,38.116438,98.882948,34.2357542692308,0.928861061792096
DRC,Tanganyika,facility_delivery,Facility delivery,beneficial,2024,38.976167,8.411974,22.489,55.463333,25,26,Worst fifth,76.6750572692308,38.116438,98.882948,37.6988902692308,0.985851927319835
DRC,Tshuapa,facility_delivery,Facility delivery,beneficial,2024,38.116438,8.250936,21.944901,54.287975,26,26,Worst fifth,76.6750572692308,38.116438,98.882948,38.5586192692308,1
DRC,Haut-Uele,fever_care_seeking,Fever care-seeking,beneficial,2024,69.184773,9.982413,49.619604,88.749942,1,26,Best fifth,49.0877410384615,29.545519,69.184773,-20.0970319615385,0
DRC,Nord-Kivu,fever_care_seeking,Fever care-seeking,beneficial,2024,66.437937,4.950855,56.73444,76.141434,2,26,Best fifth,49.0877410384615,29.545519,69.184773,-17.3501959615385,0.0692958550632664
DRC,Mai-Ndombe,fever_care_seeking,Fever care-seeking,beneficial,2024,62.046759,7.181635,47.971012,76.122505,3,26,Best fifth,49.0877410384615,29.545519,69.184773,-12.9590179615385,0.180074377787231
DRC,Kasai-Central,fever_care_seeking,Fever care-seeking,beneficial,2024,58.423824,3.331269,51.894657,64.952991,4,26,Best fifth,49.0877410384615,29.545519,69.184773,-9.33608296153847,0.271472036279997
DRC,Sud-Kivu,fever_care_seeking,Fever care-seeking,beneficial,2024,57.531234,5.543964,46.665265,68.397203,5,26,Best fifth,49.0877410384615,29.545519,69.184773,-8.44349296153846,0.293989866711417
DRC,Maniema,fever_care_seeking,Fever care-seeking,beneficial,2024,56.15737,3.428293,49.438038,62.876701,6,26,Best fifth,49.0877410384615,29.545519,69.184773,-7.06962896153846,0.328649045716148
DRC,Equateur,fever_care_seeking,Fever care-seeking,beneficial,2024,54.88529,4.39658,46.268152,63.502428,7,26,Better half,49.0877410384615,29.545519,69.184773,-5.79754896153846,0.360740467012825
DRC,Tanganyika,fever_care_seeking,Fever care-seeking,beneficial,2024,51.231683,7.660846,36.2167,66.246665,8,26,Better half,49.0877410384615,29.545519,69.184773,-2.14394196153846,0.452911903942491
DRC,Lomami,fever_care_seeking,Fever care-seeking,beneficial,2024,50.57388,6.877699,37.093837,64.053923,9,26,Better half,49.0877410384615,29.545519,69.184773,-1.48613896153847,0.469506641068472
DRC,Kongo Central,fever_care_seeking,Fever care-seeking,beneficial,2024,50.162542,7.471148,35.51936,64.805724,10,26,Better half,49.0877410384615,29.545519,69.184773,-1.07480096153846,0.479883677931981
DRC,Kasai,fever_care_seeking,Fever care-seeking,beneficial,2024,49.358891,5.059442,39.442567,59.275215,11,26,Better half,49.0877410384615,29.545519,69.184773,-0.271149961538463,0.50015779812607
DRC,Lualaba,fever_care_seeking,Fever care-seeking,beneficial,2024,48.374323,1.971745,44.509774,52.238872,12,26,Better half,49.0877410384615,29.545519,69.184773,0.713418038461541,0.5249960052225
DRC,Tshopo,fever_care_seeking,Fever care-seeking,beneficial,2024,47.598405,6.426007,35.003662,60.193148,13,26,Better half,49.0877410384615,29.545519,69.184773,1.48933603846154,0.544570490655551
DRC,Haut-Lomami,fever_care_seeking,Fever care-seeking,beneficial,2024,47.497681,2.430497,42.733995,52.261368,14,26,Worse half,49.0877410384615,29.545519,69.184773,1.59006003846154,0.547111507194359
DRC,Kwango,fever_care_seeking,Fever care-seeking,beneficial,2024,47.113303,5.242331,36.838522,57.388083,15,26,Worse half,49.0877410384615,29.545519,69.184773,1.97443803846154,0.556808410168365
DRC,Mongala,fever_care_seeking,Fever care-seeking,beneficial,2024,45.200093,3.1919,38.944083,51.456103,16,26,Worse half,49.0877410384615,29.545519,69.184773,3.88764803846154,0.605073950180798
DRC,Haut-Katanga,fever_care_seeking,Fever care-seeking,beneficial,2024,45.171391,6.261482,32.899112,57.44367,17,26,Worse half,49.0877410384615,29.545519,69.184773,3.91635003846154,0.60579803040693
DRC,Kwilu,fever_care_seeking,Fever care-seeking,beneficial,2024,44.415115,5.013874,34.588103,54.242127,18,26,Worse half,49.0877410384615,29.545519,69.184773,4.67262603846154,0.624876996928348
DRC,Sud-Ubangi,fever_care_seeking,Fever care-seeking,beneficial,2024,44.380793,5.616493,33.372669,55.388917,19,26,Worse half,49.0877410384615,29.545519,69.184773,4.70694803846154,0.62574285580652
DRC,Kasai-Oriental,fever_care_seeking,Fever care-seeking,beneficial,2024,43.683373,4.700032,34.47148,52.895266,20,26,Worse half,49.0877410384615,29.545519,69.184773,5.40436803846153,0.643337031519312
DRC,Kinshasa,fever_care_seeking,Fever care-seeking,beneficial,2024,43.454341,5.550785,32.575002,54.333681,21,26,Worst fifth,49.0877410384615,29.545519,69.184773,5.63340003846154,0.64911494045776
DRC,Nord-Ubangi,fever_care_seeking,Fever care-seeking,beneficial,2024,43.185416,7.959618,27.584851,58.78598,22,26,Worst fifth,49.0877410384615,29.545519,69.184773,5.90232503846154,0.655899250778029
DRC,Tshuapa,fever_care_seeking,Fever care-seeking,beneficial,2024,41.229332,5.756188,29.947412,52.511252,23,26,Worst fifth,49.0877410384615,29.545519,69.184773,7.85840903846154,0.70524639540391
DRC,Bas-Uele,fever_care_seeking,Fever care-seeking,beneficial,2024,40.879176,9.200947,22.845651,58.9127,24,26,Worst fifth,49.0877410384615,29.545519,69.184773,8.20856503846154,0.71407996225156
DRC,Ituri,fever_care_seeking,Fever care-seeking,beneficial,2024,38.558823,8.952815,21.011627,56.106018,25,26,Worst fifth,49.0877410384615,29.545519,69.184773,10.5289180384615,0.772616709688835
DRC,Sankuru,fever_care_seeking,Fever care-seeking,beneficial,2024,29.545519,4.108566,21.492877,37.59816,26,26,Worst fifth,49.0877410384615,29.545519,69.184773,19.5422220384615,1
DRC,Kinshasa,first_birth_under20,First birth <20,adverse,2024,42.38966911,2.83457222514842,36.8340096368807,47.9453285826176,1,26,Best fifth,57.8511717138462,42.38966911,70.67920961,-15.4615026038462,0
DRC,Kwango,first_birth_under20,First birth <20,adverse,2024,45.89726662,2.01669166185803,41.9446235922699,49.8499096425979,2,26,Best fifth,57.8511717138462,42.38966911,70.67920961,-11.9539050938462,0.123989200531553
DRC,Kwilu,first_birth_under20,First birth <20,adverse,2024,47.29516559,2.66766424776994,42.06663974054,52.5236914374884,3,26,Best fifth,57.8511717138462,42.38966911,70.67920961,-10.5560061238462,0.173403186948194
DRC,Kongo Central,first_birth_under20,First birth <20,adverse,2024,49.38358568,3.08644059986612,43.334273264901,55.4328980972206,4,26,Best fifth,57.8511717138462,42.38966911,70.67920961,-8.46758603384615,0.247226234374503
DRC,Lomami,first_birth_under20,First birth <20,adverse,2024,51.08336917,2.98544463933376,45.2320052018213,56.934733143686,5,26,Best fifth,57.8511717138462,42.38966911,70.67920961,-6.76780254384616,0.307311462340648
DRC,Nord-Ubangi,first_birth_under20,First birth <20,adverse,2024,52.73019237,2.7478068054417,47.3445899925728,58.1157947428524,6,26,Best fifth,57.8511717138462,42.38966911,70.67920961,-5.12097934384616,0.365524610058619
DRC,Mai-Ndombe,first_birth_under20,First birth <20,adverse,2024,53.21422479,3.69469401640475,45.9727575875081,60.455691999606,7,26,Better half,57.8511717138462,42.38966911,70.67920961,-4.63694692384615,0.382634552865926
DRC,Haut-Uele,first_birth_under20,First birth <20,adverse,2024,53.61477623,3.19276787708718,47.3570661764281,59.8724862766027,8,26,Better half,57.8511717138462,42.38966911,70.67920961,-4.23639548384616,0.396793547070869
DRC,Haut-Lomami,first_birth_under20,First birth <20,adverse,2024,54.34518117,1.87485501148164,50.6705328759742,58.0198294734511,9,26,Better half,57.8511717138462,42.38966911,70.67920961,-3.50599054384616,0.42261245141115
DRC,Sankuru,first_birth_under20,First birth <20,adverse,2024,55.96176784,5.10882517841881,45.9486544905473,65.9748811965718,10,26,Better half,57.8511717138462,42.38966911,70.67920961,-1.88940387384616,0.479756775476788
DRC,Nord-Kivu,first_birth_under20,First birth <20,adverse,2024,56.92171169,3.24725866181535,50.5572016607308,63.2862217120184,11,26,Better half,57.8511717138462,42.38966911,70.67920961,-0.929460023846154,0.513689594215926
DRC,Equateur,first_birth_under20,First birth <20,adverse,2024,58.08275699,2.5437691563903,53.0970610610468,63.0684529240644,12,26,Better half,57.8511717138462,42.38966911,70.67920961,0.231585276153844,0.554731098583945
DRC,Kasai,first_birth_under20,First birth <20,adverse,2024,58.62877405,2.53735915706324,53.6556414891158,63.6019066164895,13,26,Better half,57.8511717138462,42.38966911,70.67920961,0.777602336153841,0.574032121165064
DRC,Tshuapa,first_birth_under20,First birth <20,adverse,2024,59.55180618,2.41626581892527,54.8160121976747,64.2876001620121,14,26,Worse half,57.8511717138462,42.38966911,70.67920961,1.70063446615384,0.606660156604523
DRC,Haut-Katanga,first_birth_under20,First birth <20,adverse,2024,59.63506352,2.13025718947143,55.4598361510096,63.8102908893526,15,26,Worse half,57.8511717138462,42.38966911,70.67920961,1.78389180615385,0.609603199811605
DRC,Tanganyika,first_birth_under20,First birth <20,adverse,2024,60.94314405,4.14216057469377,52.8246585082702,69.0616295974332,16,26,Worse half,57.8511717138462,42.38966911,70.67920961,3.09197233615384,0.655842216313128
DRC,Sud-Kivu,first_birth_under20,First birth <20,adverse,2024,61.52114087,5.23626675483786,51.2582466141038,71.7840351199571,17,26,Worse half,57.8511717138462,42.38966911,70.67920961,3.66996915615385,0.676273683554528
DRC,Bas-Uele,first_birth_under20,First birth <20,adverse,2024,61.62053612,1.29094637057909,59.0903277285174,64.1507445131328,18,26,Worse half,57.8511717138462,42.38966911,70.67920961,3.76936440615384,0.679787181767763
DRC,Kasai-Central,first_birth_under20,First birth <20,adverse,2024,61.8588893,3.23700349135973,55.5144790400252,68.2032995618162,19,26,Worse half,57.8511717138462,42.38966911,70.67920961,4.00771758615385,0.688212669626076
DRC,Sud-Ubangi,first_birth_under20,First birth <20,adverse,2024,62.29159558,2.74965344301386,56.9023738567403,67.6808172932878,20,26,Worse half,57.8511717138462,42.38966911,70.67920961,4.44042386615384,0.7035082973511
DRC,Ituri,first_birth_under20,First birth <20,adverse,2024,64.06851161,1.86250402269375,60.4180708050469,67.7189524161283,21,26,Worst fifth,57.8511717138462,42.38966911,70.67920961,6.21733989615385,0.766320064477541
DRC,Kasai-Oriental,first_birth_under20,First birth <20,adverse,2024,64.37675079,2.79998341770473,58.8888841321249,69.8646174441462,22,26,Worst fifth,57.8511717138462,42.38966911,70.67920961,6.52557907615385,0.777215935338363
DRC,Lualaba,first_birth_under20,First birth <20,adverse,2024,64.7040401,4.24286995866473,56.3881677901691,73.0199124103088,23,26,Worst fifth,57.8511717138462,42.38966911,70.67920961,6.85286838615384,0.788785204552898
DRC,Tshopo,first_birth_under20,First birth <20,adverse,2024,64.73431386,3.98740387641981,56.9191458666553,72.5494818458518,24,26,Worst fifth,57.8511717138462,42.38966911,70.67920961,6.88314214615384,0.789855344239331
DRC,Maniema,first_birth_under20,First birth <20,adverse,2024,68.59702167,2.23013893513363,64.2260296737225,72.9680136604874,25,26,Worst fifth,57.8511717138462,42.38966911,70.67920961,10.7458499561538,0.92639725130919
DRC,Mongala,first_birth_under20,First birth <20,adverse,2024,70.67920961,3.66458622086891,63.4967525997247,77.8616666220143,26,26,Worst fifth,57.8511717138462,42.38966911,70.67920961,12.8280378961538,1
DRC,Kinshasa,malaria_rdt_positive,Malaria RDT+,adverse,2024,5.111819932,1.88367585499759,1.41988309731381,8.80375676599976,1,26,Best fifth,35.2498669226923,5.111819932,61.02302039,-30.1380469906923,0
DRC,Nord-Kivu,malaria_rdt_positive,Malaria RDT+,adverse,2024,8.538666208,3.02418140574664,2.61137956997865,14.4659528459369,2,26,Best fifth,35.2498669226923,5.111819932,61.02302039,-26.7112007146923,0.061290872811329
DRC,Mongala,malaria_rdt_positive,Malaria RDT+,adverse,2024,11.93418117,4.1413634161774,3.81725802394426,20.0511043091432,3,26,Best fifth,35.2498669226923,5.111819932,61.02302039,-23.3156857526923,0.12202136928047
DRC,Mai-Ndombe,malaria_rdt_positive,Malaria RDT+,adverse,2024,15.36260447,3.54721529497512,8.41019024297074,22.3150186900925,4,26,Best fifth,35.2498669226923,5.111819932,61.02302039,-19.8872624526923,0.183340447960875
DRC,Haut-Uele,malaria_rdt_positive,Malaria RDT+,adverse,2024,20.37656886,4.83129116629277,10.9074121767107,29.8457255462314,5,26,Best fifth,35.2498669226923,5.111819932,61.02302039,-14.8732980626923,0.273017728164623
DRC,Haut-Katanga,malaria_rdt_positive,Malaria RDT+,adverse,2024,20.46222088,5.2795541770512,10.1144848394159,30.8099569223127,6,26,Best fifth,35.2498669226923,5.111819932,61.02302039,-14.7876460426923,0.274549657711805
