country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Bas-Uele,bas uele,5.999780588,5.999780588,3.316324499,8.683236676,387,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Equateur,equateur,0.630143918,0.630143918,-0.482649287,1.742937124,265,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Equateur,equateur,0.876691271,0.876691271,-0.161226154,1.914608697,436,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Haut-Katanga,haut katanga,1.165810291,1.165810291,-0.0179829,2.349603481,295,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Haut-Katanga,haut katanga,1.572126211,1.572126211,0.166375944,2.977876478,525,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Haut-Lomami,haut lomami,1.466068292,1.466068292,0.095496202,2.836640383,296,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Haut-Lomami,haut lomami,3.386685175,3.386685175,1.783247102,4.990123248,566,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Haut-Uele,haut uele,3.979948642,3.979948642,-0.518237218,8.478134502,226,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Haut-Uele,haut uele,0.40414691,0.40414691,-0.07500874,0.88330256,289,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Ituri,ituri,7.120111255,7.120111255,2.901793687,11.33842882,278,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Ituri,ituri,1.637038338,1.637038338,0.26062292,3.013453756,520,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Kasai,kasai,1.932287431,1.932287431,0.237953087,3.626621775,401,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Kasai,kasai,4.928139512,4.928139512,1.079039157,8.777239866,568,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Kasai-Central,kasai central,0.709225927,0.709225927,-0.282695793,1.701147647,393,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Kasai-Central,kasai central,1.015266297,1.015266297,-0.077346852,2.107879447,626,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Kasai-Oriental,kasai oriental,3.382728017,3.382728017,1.121957435,5.643498599,332,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Kasai-Oriental,kasai oriental,0.784251002,0.784251002,0.029356962,1.539145043,424,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Kinshasa,kinshasa,0.690802219,0.690802219,-0.069793268,1.451397707,471,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Kinshasa,kinshasa,0.489856968,0.489856968,-0.191086711,1.170800647,325,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Kongo Central,kongo central,2.864844284,2.864844284,0.764632184,4.965056385,407,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Kongo Central,kongo central,2.896914549,2.896914549,0.434375429,5.359453669,331,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Kwango,kwango,3.89479033,3.89479033,1.836987543,5.952593116,416,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Kwango,kwango,2.620012038,2.620012038,1.199563191,4.040460884,440,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Kwilu,kwilu,1.19337338,1.19337338,0.020266407,2.366480353,449,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Kwilu,kwilu,2.399364287,2.399364287,0.537493805,4.261234768,416,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Lomami,lomami,1.440232021,1.440232021,0.195206076,2.685257966,404,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Lomami,lomami,2.105936577,2.105936577,0.474399496,3.737473657,505,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Lualaba,lualaba,3.052688861,3.052688861,0.292163259,5.813214464,228,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Lualaba,lualaba,2.51283592,2.51283592,-0.195212919,5.220884759,571,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Mai-Ndombe,mai ndombe,6.415072188,6.415072188,1.546836901,11.28330748,318,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Mai-Ndombe,mai ndombe,2.178639466,2.178639466,0.232247358,4.125031575,306,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Maniema,maniema,8.590639927,8.590639927,4.551200597,12.63007926,419,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Maniema,maniema,2.830792729,2.830792729,0.850586819,4.81099864,517,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Mongala,mongala,2.520458298,2.520458298,0.058187869,4.982728727,322,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Mongala,mongala,1.230752047,1.230752047,0.087421696,2.374082399,481,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Nord-Kivu,nord kivu,1.739594294,1.739594294,0.383098632,3.096089955,513,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Nord-Kivu,nord kivu,1.248378757,1.248378757,-0.240276788,2.737034303,536,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Nord-Ubangi,nord ubangi,0.392138609,0.392138609,-0.140761248,0.925038466,282,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Nord-Ubangi,nord ubangi,1.645421073,1.645421073,0.285574415,3.005267732,470,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Sankuru,sankuru,4.142448839,4.142448839,0.371502741,7.913394936,314,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Sankuru,sankuru,1.70136213,1.70136213,0.315458198,3.087266062,420,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Sud-Kivu,sud kivu,3.056017826,3.056017826,1.398429491,4.713606162,507,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Sud-Kivu,sud kivu,1.308272758,1.308272758,0.167063064,2.449482451,664,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Sud-Ubangi,sud ubangi,1.939284616,1.939284616,0.316239826,3.562329406,319,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Sud-Ubangi,sud ubangi,1.010181713,1.010181713,0.172942533,1.847420893,582,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Tanganyika,tanganyika,3.754569488,3.754569488,0.511601339,6.997537637,310,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Tanganyika,tanganyika,0.753372285,0.753372285,-0.077973202,1.584717772,441,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Tshopo,tshopo,2.374882035,2.374882035,0.101078143,4.648685926,272,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Tshopo,tshopo,3.170830232,3.170830232,0.689580215,5.65208025,428,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Tshuapa,tshuapa,2.384714657,2.384714657,0.318229988,4.451199325,227,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_wasting,ADM1,Tshuapa,tshuapa,3.365611457,3.365611457,1.608962644,5.12226027,416,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Bas-Uele,bas uele,43.11031621,3.64742506,35.96149445,50.25913796,220,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Bas-Uele,bas uele,47.18481786,2.572181308,42.14343514,52.22620059,388,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Equateur,equateur,23.05647366,4.777446477,13.69285062,32.42009669,265,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Equateur,equateur,34.84384453,4.278912408,26.45733032,43.23035875,432,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Haut-Katanga,haut katanga,40.38118835,4.89108211,30.79484357,49.96753313,295,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Haut-Katanga,haut katanga,44.09813642,4.363018309,35.54677767,52.64949517,522,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Haut-Lomami,haut lomami,49.50768817,2.30926867,44.98160475,54.0337716,296,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Haut-Lomami,haut lomami,45.45767727,2.779469402,40.01001734,50.90533719,559,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Haut-Uele,haut uele,40.70206443,5.370509469,30.17605929,51.22806956,226,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Haut-Uele,haut uele,34.45720663,6.784703584,21.15943196,47.7549813,286,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Ituri,ituri,44.51754731,2.542919302,39.53351706,49.50157755,278,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Ituri,ituri,51.20224492,4.763249836,41.86644679,60.53804304,497,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Kasai,kasai,57.94704437,2.677396512,52.69944364,63.19464511,401,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Kasai,kasai,42.35279844,3.840770554,34.82502648,49.8805704,561,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Kasai-Central,kasai central,46.80004438,4.376352613,38.22255088,55.37753789,393,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Kasai-Central,kasai central,52.50362825,2.521572922,47.56143614,57.44582036,614,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Kasai-Oriental,kasai oriental,37.77465712,2.963615413,31.96607765,43.58323659,332,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Kasai-Oriental,kasai oriental,46.12783962,3.875610047,38.53178351,53.72389573,413,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Kinshasa,kinshasa,17.30254284,2.827322126,11.7610933,22.84399238,471,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Kinshasa,kinshasa,14.17127149,2.24194374,9.777142507,18.56540048,325,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Kongo Central,kongo central,45.91289623,6.492654346,33.18752755,58.63826491,407,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Kongo Central,kongo central,45.45487999,3.499718055,38.59555865,52.31420134,324,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Kwango,kwango,45.62013585,4.330335939,37.13283337,54.10743833,416,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Kwango,kwango,59.49287478,2.81253514,53.9804072,65.00534236,433,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Kwilu,kwilu,38.88026913,2.688447533,33.61100879,44.14952947,449,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Kwilu,kwilu,46.19723911,2.831707984,40.64719344,51.74728477,407,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Lomami,lomami,51.12123434,2.336441576,46.54189299,55.70057568,404,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Lomami,lomami,40.0427793,3.08140864,34.00332934,46.08222925,505,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Lualaba,lualaba,42.10642968,2.520015993,37.16728909,47.04557027,228,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Lualaba,lualaba,50.91312943,5.206360764,40.70884985,61.11740902,570,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Mai-Ndombe,mai ndombe,32.00111516,2.133043817,27.8204261,36.18180421,318,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Mai-Ndombe,mai ndombe,38.73723266,3.033242653,32.79218631,44.68227902,303,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Maniema,maniema,46.37493625,4.241469989,38.06180783,54.68806467,419,1,2013 DHS
