"Method","Horizon","Reinitiated (%)","Pregnancy competing event (%)","No observed event (%)","Unweighted at risk","Weighted at risk"
"Emergency contraception","12 months",39.0658135744938,4.61722541802756,56.3169610074787,59,69.940794
"Other","1 month",41.2222375997046,3.24297807300397,55.5347843272914,212,167.712759
"Other","2 months",47.9729040770237,3.90458724729464,48.1225086756816,125,93.138919
"Other","3 months",50.9594508548989,4.57938742752422,44.4611617175769,111,80.707587
"Other","4 months",52.092749371493,4.69483196702598,43.212418661481,97,64.840881
"Other","5 months",52.4390898451,5.91550975966137,41.6454003952386,85,61.05452
"Other","6 months",55.9520091136232,7.44603182461995,36.6019590617569,76,56.606208
"Other","7 months",57.8848088848489,7.54218454596198,34.5730065691891,65,49.047521
"Other","8 months",58.4799725947907,12.82198677049,28.6980406347193,56,45.130458
"Other","9 months",59.7541848789154,12.82198677049,27.4238283505945,49,36.166187
"Other","10 months",60.5165977179722,13.4876372616355,25.9957650203922,46,34.560384
"Other","11 months",60.5165977179722,14.3019514222705,25.1814508597573,38,31.602773
"Other","12 months",60.5838086925505,14.3019514222705,25.114239885179,35,30.526025
"All methods","1 month",23.722548679052,3.9831018167753,72.2943495041727,2932,3241.330223
"All methods","2 months",32.4668077486408,4.9668015575098,62.5663906938494,2143,2343.2986
"All methods","3 months",36.5970943220369,6.43507059292922,56.9678350850338,1838,2027.983331
"All methods","4 months",40.3628572226237,7.22221869415535,52.414924083221,1601,1790.141405
"All methods","5 months",41.7462503832913,7.93761278323832,50.3161368334703,1447,1614.322664
"All methods","6 months",43.4896502083031,8.99133374213954,47.5190160495574,1338,1515.629181
"All methods","7 months",44.6976217673312,9.96175538416893,45.3406228484999,1222,1394.718515
"All methods","8 months",45.4417951680101,10.7209287014278,43.8372761305621,1128,1302.718907
"All methods","9 months",46.6738269291489,11.2647031239217,42.0614699469294,1054,1218.286983
"All methods","10 months",48.3467489800394,12.2513749311219,39.4018760888387,988,1131.635544
"All methods","11 months",48.9350069681096,13.4155191294113,37.6494739024792,907,1038.27018
"All methods","12 months",50.7303764993807,14.338878001895,34.9307454987243,852,977.505996
