"chart_type","country","admin_name","asset_path","mime_type","bytes","width","height","sha256"
"profiles","Nigeria","Edo","assets/profile-plots/profiles/Nigeria/Nigeria_Edo.png","image/png",346975,3450,2400,"8670cd06c7b5e3c3e72ab4291364ab1902ccc0a573a3ac1e952feadebc9f2b33"
"profiles","Nigeria","Ekiti","assets/profile-plots/profiles/Nigeria/Nigeria_Ekiti.png","image/png",342146,3450,2400,"73288f754b13c3be2ee5800d19d73bfe30a3d7e7fcad889e73b0b1aae1d283c4"
"profiles","Nigeria","Enugu","assets/profile-plots/profiles/Nigeria/Nigeria_Enugu.png","image/png",343540,3450,2400,"0d11ea1717c14b388d4b3bb261d637d0fbc15416c0087c4960b0543c385a49aa"
"profiles","Nigeria","FCT Abuja","assets/profile-plots/profiles/Nigeria/Nigeria_FCTAbuja.png","image/png",343622,3450,2400,"1579e6bf5ec5c36c05270b43abd6922f5978fea6ac5faed5b3cb7132a09d493e"
"profiles","Nigeria","Gombe","assets/profile-plots/profiles/Nigeria/Nigeria_Gombe.png","image/png",346707,3450,2400,"8dafc1b2f6fe6306dca3135f95a03a934cef0f76b27a66df938dff9c2df7bbd7"
"profiles","Nigeria","Imo","assets/profile-plots/profiles/Nigeria/Nigeria_Imo.png","image/png",338566,3450,2400,"1d0d2e4c2fb638c6a51515f740fd6beaecfa5461f6047eb8e3d53fe4ffa6ed0a"
"profiles","Nigeria","Jigawa","assets/profile-plots/profiles/Nigeria/Nigeria_Jigawa.png","image/png",343796,3450,2400,"05ee5496f67834403dc1aa94a2423ed0824ec60d98dbd27e27f58e22c807daab"
"profiles","Nigeria","Kaduna","assets/profile-plots/profiles/Nigeria/Nigeria_Kaduna.png","image/png",344560,3450,2400,"785e2cfd2a95562517bb78b18c7ec1fec1b3717edc010b22f6844bc27de179e2"
"profiles","Nigeria","Kano","assets/profile-plots/profiles/Nigeria/Nigeria_Kano.png","image/png",347279,3450,2400,"37bc6c85874998083a7f16f856337ae71c3809cf80df52901b1694668f3ed095"
"profiles","Nigeria","Katsina","assets/profile-plots/profiles/Nigeria/Nigeria_Katsina.png","image/png",347960,3450,2400,"0f534ba0e900b58bd15a1870a147467e28aca6381fb5713705ea5a89a8c17ec1"
"profiles","Nigeria","Kebbi","assets/profile-plots/profiles/Nigeria/Nigeria_Kebbi.png","image/png",337351,3450,2400,"bbf0c48bc6115b15d9144e55f246fa24e10c0a757315f79ce40763dcd7edb166"
