country,survey_year,survey_source,survey_label,indicator,admin_name,estimate,ci_l,ci_u
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Kinshasa,43.454341,32.575002,54.333681
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Kongo Central,50.162542,35.51936,64.805724
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Kwango,47.113303,36.838522,57.388083
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Kwilu,44.415115,34.588103,54.242127
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Lomami,50.57388,37.093837,64.053923
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Lualaba,48.374323,44.509774,52.238872
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Mai-Ndombe,62.046759,47.971012,76.122505
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Maniema,56.15737,49.438038,62.876701
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Mongala,45.200093,38.944083,51.456103
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Nord Ubangi,43.185416,27.584851,58.78598
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Nord-Kivu,66.437937,56.73444,76.141434
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Sankuru,29.545519,21.492877,37.59816
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Sud Ubangi,44.380793,33.372669,55.388917
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Sud-Kivu,57.531234,46.665265,68.397203
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Tanganyika,51.231683,36.2167,66.246665
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Tshopo,47.598405,35.003662,60.193148
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Tshuapa,41.229332,29.947412,52.511252
DRC,2013,DHS,2013 DHS,first_birth_under20,Bas-Uele,65.773625343946,60.1412565717401,71.4059941161519
DRC,2013,DHS,2013 DHS,first_birth_under20,Equateur,63.740877995332,59.6822288699304,67.7995271207336
DRC,2013,DHS,2013 DHS,first_birth_under20,Haut-Katanga,67.7943633064841,57.8218290206283,77.76689759234
DRC,2013,DHS,2013 DHS,first_birth_under20,Haut-Lomami,63.8256474378465,58.4511554979114,69.2001393777817
DRC,2013,DHS,2013 DHS,first_birth_under20,Haut-Uele,63.2499199802154,57.2685781430053,69.2312618174255
DRC,2013,DHS,2013 DHS,first_birth_under20,Ituri,65.7204778292414,62.2605213059627,69.1804343525201
DRC,2013,DHS,2013 DHS,first_birth_under20,Kasai,65.4497163035186,61.9017495051592,68.9976831018781
DRC,2013,DHS,2013 DHS,first_birth_under20,Kasai-Central,64.4340484442267,57.1190505435393,71.7490463449141
DRC,2013,DHS,2013 DHS,first_birth_under20,Kasai-Oriental,68.6750579457065,63.6862245179717,73.6638913734413
DRC,2013,DHS,2013 DHS,first_birth_under20,Kinshasa,45.5164306961124,41.0561489126649,49.97671247956
DRC,2013,DHS,2013 DHS,first_birth_under20,Kongo Central,59.8397010156379,54.2922832353273,65.3871187959485
DRC,2013,DHS,2013 DHS,first_birth_under20,Kwango,43.2068143896923,38.1636224892324,48.2500062901521
DRC,2013,DHS,2013 DHS,first_birth_under20,Kwilu,52.1748659482957,47.2332332856457,57.1164986109456
DRC,2013,DHS,2013 DHS,first_birth_under20,Lomami,65.4030674907522,59.2694938389774,71.5366411425271
DRC,2013,DHS,2013 DHS,first_birth_under20,Lualaba,66.4714633964605,57.9860255443509,74.95690124857
DRC,2013,DHS,2013 DHS,first_birth_under20,Mai-Ndombe,63.6054296771561,60.3710598980336,66.8397994562786
DRC,2013,DHS,2013 DHS,first_birth_under20,Maniema,60.6447718616919,55.5368610770036,65.7526826463802
DRC,2013,DHS,2013 DHS,first_birth_under20,Mongala,70.5071321999654,65.0240753952847,75.990189004646
DRC,2013,DHS,2013 DHS,first_birth_under20,Nord-Kivu,60.8348016006344,55.2864613555267,66.3831418457421
DRC,2013,DHS,2013 DHS,first_birth_under20,Nord-Ubangi,57.2702040368856,51.1165725235619,63.4238355502093
DRC,2013,DHS,2013 DHS,first_birth_under20,Sankuru,59.5355145320096,53.9318374639544,65.1391916000648
