country,population,indicator,direction,admin_level,admin_name,n_surveys,years_available,latest_year,baseline_target_year,baseline_year,baseline_year_gap,baseline_estimate,observed_latest_estimate,pp_change_10yr,recoded_baseline_estimate,recoded_observed_latest,pp_change_10yr_recoded,change_rank,prevalence_rank
DRC,,anc_skilled_provider,beneficial,ADM1,Lomami,2,2013;2024,2024,2014,2013,1,80.800699,69.75455,-11.046149,19.199301,30.24545,11.046149,19,22
DRC,,anc_skilled_provider,beneficial,ADM1,Kongo Central,2,2013;2024,2024,2014,2013,1,95.148756,83.960688,-11.188068,4.851244,16.039312,11.188068,20,10
DRC,,anc_skilled_provider,beneficial,ADM1,Haut-Uele,2,2013;2024,2024,2014,2013,1,93.445855,82.19245,-11.253405,6.554145,17.80755,11.253405,21,11
DRC,,anc_skilled_provider,beneficial,ADM1,Sud-Ubangi,2,2013;2024,2024,2014,2013,1,89.266522,76.959589,-12.306933,10.733478,23.040411,12.306933,22,19
DRC,,anc_skilled_provider,beneficial,ADM1,Ituri,2,2013;2024,2024,2014,2013,1,93.868584,81.248667,-12.619917,6.131416,18.751333,12.619917,23,14
DRC,,anc_skilled_provider,beneficial,ADM1,Kasai,2,2013;2024,2024,2014,2013,1,86.131734,69.987873,-16.143861,13.868266,30.012127,16.143861,24,21
DRC,,anc_skilled_provider,beneficial,ADM1,Sankuru,2,2013;2024,2024,2014,2013,1,69.838993,48.005846,-21.833147,30.161007,51.994154,21.833147,25,26
DRC,,anc_skilled_provider,beneficial,ADM1,Bas-Uele,2,2013;2024,2024,2014,2013,1,85.975525,53.497572,-32.477953,14.024475,46.502428,32.477953,26,25
DRC,women_15_49,anemia_women,adverse,ADM1,Kasai-Central,2,2013;2024,2024,2014,2013,1,51.55285089,37.70505018,-13.84780071,51.55285089,37.70505018,-13.84780071,1,8
DRC,women_15_49,anemia_women,adverse,ADM1,Haut-Uele,2,2013;2024,2024,2014,2013,1,31.63129715,20.01550384,-11.61579331,31.63129715,20.01550384,-11.61579331,2,1
DRC,women_15_49,anemia_women,adverse,ADM1,Lomami,2,2013;2024,2024,2014,2013,1,44.4710144,34.56479806,-9.90621634,44.4710144,34.56479806,-9.90621634,3,7
DRC,women_15_49,anemia_women,adverse,ADM1,Tanganyika,2,2013;2024,2024,2014,2013,1,55.32394348,46.04104555,-9.28289793,55.32394348,46.04104555,-9.28289793,4,16
DRC,women_15_49,anemia_women,adverse,ADM1,Mai-Ndombe,2,2013;2024,2024,2014,2013,1,51.90657796,47.23483535,-4.67174261,51.90657796,47.23483535,-4.67174261,5,19
DRC,women_15_49,anemia_women,adverse,ADM1,Ituri,2,2013;2024,2024,2014,2013,1,30.59619121,26.65892704,-3.93726417,30.59619121,26.65892704,-3.93726417,6,3
DRC,women_15_49,anemia_women,adverse,ADM1,Kasai,2,2013;2024,2024,2014,2013,1,41.03163378,39.43153683,-1.60009695,41.03163378,39.43153683,-1.60009695,7,10
DRC,women_15_49,anemia_women,adverse,ADM1,Kwilu,2,2013;2024,2024,2014,2013,1,35.20088221,33.72567736,-1.47520485,35.20088221,33.72567736,-1.47520485,8,6
