country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2024,DHS,,,anc4plus,ADM1,Kongo Central,kongo central,46.591919,4.509343,37.75377,55.430069,204,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Kwango,kwango,27.990395,3.764851,20.611422,35.369368,499,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Kwango,kwango,28.543366,5.002835,18.737989,38.348742,313,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Kwilu,kwilu,51.024096,3.615234,43.938367,58.109825,585,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Kwilu,kwilu,49.32902,5.448985,38.649206,60.008835,330,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Lomami,lomami,38.853656,4.470914,30.090825,47.616487,476,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Lomami,lomami,31.705168,3.928071,24.00629,39.404045,402,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Lualaba,lualaba,52.568414,3.885072,44.953813,60.183016,284,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Lualaba,lualaba,56.845866,5.262666,46.531231,67.160501,416,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Mai-Ndombe,mai ndombe,61.381791,4.089057,53.367387,69.396195,427,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Mai-Ndombe,mai ndombe,62.428795,6.458511,49.770346,75.087243,208,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Maniema,maniema,39.338688,3.740254,32.007926,46.669451,548,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Maniema,maniema,29.817499,3.012601,23.91291,35.722089,452,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Mongala,mongala,47.278443,4.985335,37.507365,57.049521,362,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Mongala,mongala,45.638067,4.217576,37.37177,53.904364,355,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Nord-Kivu,nord kivu,56.771075,5.210194,46.559283,66.982867,638,1,2013 DHS
