country,admin_name,indicator,prev,ci_l,ci_u,n_units,prov_avg,prov_min,prov_max,pos_worse
Ethiopia,Harari,NMR,31.1579956438631,15.9946917598885,59.8224957271184,11,25.5180529317346,12.5069337791156,44.1819054375543,0.588826473654588
Ethiopia,Amhara,NMR,27.7369133775607,15.38611457884,49.5035298840089,11,25.5180529317346,12.5069337791156,44.1819054375543,0.480820622751451
Ethiopia,Afar,NMR,25.3421500587281,17.6342821977215,36.2946190297805,11,25.5180529317346,12.5069337791156,44.1819054375543,0.405216346142902
Ethiopia,Dire Dawa,NMR,23.4495339447337,10.6979377866668,50.6228585670414,11,25.5180529317346,12.5069337791156,44.1819054375543,0.345465192001295
Ethiopia,Somali,NMR,23.429864153582,11.2553294304081,48.1321504897412,11,25.5180529317346,12.5069337791156,44.1819054375543,0.344844203563996
Ethiopia,Oromia,NMR,22.8575998842098,14.6741846446086,35.4405472002003,11,25.5180529317346,12.5069337791156,44.1819054375543,0.32677743856281
Ethiopia,SNNPR,NMR,22.8265424085815,17.7197636559336,29.3610864163665,11,25.5180529317346,12.5069337791156,44.1819054375543,0.325796933324694
Ethiopia,Addis Ababa,NMR,15.5219115972254,7.23132161189002,33.0015596942324,11,25.5180529317346,12.5069337791156,44.1819054375543,0.0951848623771886
Ethiopia,Gambela,NMR,12.5069337791156,4.59496380004176,33.5827311115419,11,25.5180529317346,12.5069337791156,44.1819054375543,0
Ethiopia,Afar,U5MR,75.1257104617031,58.4066182302463,96.1420322131103,11,53.3526272720156,29.7987730193778,75.1257104617031,1
Ethiopia,Benishangul,U5MR,72.2226395121067,52.6006853475305,98.4040120531361,11,53.3526272720156,29.7987730193778,75.1257104617031,0.935952634053639
Ethiopia,Tigray,U5MR,65.1327168430627,49.7434293024542,84.8578784491273,11,53.3526272720156,29.7987730193778,75.1257104617031,0.779535212778147
Ethiopia,Harari,U5MR,63.3834835597748,46.4144020677657,85.9969688921735,11,53.3526272720156,29.7987730193778,75.1257104617031,0.740943739760283
Ethiopia,Oromia,U5MR,56.8521180821121,41.190937173853,77.9835229543365,11,53.3526272720156,29.7987730193778,75.1257104617031,0.596849171580528
Ethiopia,Dire Dawa,U5MR,52.4118872030814,33.0467574962499,82.1606177934115,11,53.3526272720156,29.7987730193778,75.1257104617031,0.498889081409413
Ethiopia,SNNPR,U5MR,50.7434495544582,42.6806298051082,60.2335855558631,11,53.3526272720156,29.7987730193778,75.1257104617031,0.462080116525205
Ethiopia,Gambela,U5MR,42.6748635512826,30.7288635703593,58.9823290450662,11,53.3526272720156,29.7987730193778,75.1257104617031,0.284071487253876
Ethiopia,Somali,U5MR,42.3240960516098,27.7563322552185,64.0341033506598,11,53.3526272720156,29.7987730193778,75.1257104617031,0.276332877070492
Ethiopia,Amhara,U5MR,36.2091621536027,22.4820633683256,57.8219726518404,11,53.3526272720156,29.7987730193778,75.1257104617031,0.141425595814444
Ethiopia,Addis Ababa,U5MR,29.7987730193778,18.8420039932651,46.8229280233904,11,53.3526272720156,29.7987730193778,75.1257104617031,0
Nigeria,Kaduna,IMR,92.43625761748,79.4811711070352,107.256925212767,37,53.8400761429915,15.391029984978,92.43625761748,1
Nigeria,Kebbi,IMR,91.9194350791318,69.3899305992534,120.814177581849,37,53.8400761429915,15.391029984978,92.43625761748,0.993291959096891
Nigeria,Kano,IMR,88.7452008400254,71.0737573940124,110.288731968587,37,53.8400761429915,15.391029984978,92.43625761748,0.952092337307891
Nigeria,Plateau,IMR,87.5159963153334,67.6616696515929,112.493340290912,37,53.8400761429915,15.391029984978,92.43625761748,0.936138013302838
Nigeria,Jigawa,IMR,82.2642160120761,62.2565219799426,107.961606662922,37,53.8400761429915,15.391029984978,92.43625761748,0.867973112443467
Nigeria,Bauchi,IMR,77.824347572674,55.2140973179539,108.628960052539,37,53.8400761429915,15.391029984978,92.43625761748,0.81034633170917
Nigeria,Imo,IMR,77.361132549451,45.497880746331,128.534077404847,37,53.8400761429915,15.391029984978,92.43625761748,0.804334083612085
Nigeria,Taraba,IMR,73.401648980848,48.8662078844144,108.846412658709,37,53.8400761429915,15.391029984978,92.43625761748,0.752942405110085
Nigeria,Kogi,IMR,73.0891372297063,53.7229936881922,98.708199230368,37,53.8400761429915,15.391029984978,92.43625761748,0.748886193443967
Nigeria,Adamawa,IMR,71.0251685172854,54.2496147311463,92.4809473554294,37,53.8400761429915,15.391029984978,92.43625761748,0.722097140106803
Nigeria,Ogun,IMR,70.7468260223032,49.2174419809592,100.696477214812,37,53.8400761429915,15.391029984978,92.43625761748,0.718484424517075
Nigeria,Nasarawa,IMR,68.9702588155341,47.5628711627902,99.0111845304037,37,53.8400761429915,15.391029984978,92.43625761748,0.695425667195425
Nigeria,Katsina,IMR,66.8185349861725,44.989632675709,98.1502720849861,37,53.8400761429915,15.391029984978,92.43625761748,0.66749760603601
Nigeria,Zamfara,IMR,66.6287438527418,44.1839178277945,99.2908219087265,37,53.8400761429915,15.391029984978,92.43625761748,0.665034233037282
Nigeria,Akwa Ibom,IMR,66.1890629056867,42.3521749987464,102.012829286378,37,53.8400761429915,15.391029984978,92.43625761748,0.659327442875635
